tract_name,Neighborhood,Household_Income
45019002104,Kiawah Island,72351
45019002105,Johns Island,67140
45019000200,Charleston,61939
45019004800,Sullivan's Island,59856
45019004613,Mount Pleasant,59616
45019002606,West Ashley,59592
45019004902,Isle of Palms,58441
45019000100,Charleston,58318
45019000500,Harleston Village,55047
45019002007,James Island,54904
45019004608,Mount Pleasant,54770
45019004901,Isle of Palms,54603
45019004606,Mount Pleasant,54089
45019002802,West Ashley,53896
45019005700,Charleston,53175
45015020403,Charleston,52368
45019002004,Folly Beach,52218
45019004607,Mount Pleasant,51053
45019004612,Mount Pleasant,50178
45019003000,West Ashley,49443
45019002005,James Island,49153
45035010819,North Charleston,49037
45019000400,Harleston Village,48251
45019004701,Mount Pleasant,47854
45035010820,North Charleston,46346
45019004614,Mount Pleasant,46015
45019004611,Mount Pleasant,45138
45019002801,West Ashley,42775
45019002612,West Ashley,42504
45019002006,James Island,42357
45019003200,Joint Base Charleston,42043
45019002613,West Ashley,41447
45019002604,West Ashley,41230
45019002611,West Ashley,40937
45019000600,Charleston,40833
45019002002,James Island,40773
45019004609,Mount Pleasant,39380
45019004610,Mount Pleasant,38754
45019004702,Mount Pleasant,37687
45019002614,West Ashley,37535
45019003114,North Charleston,37315
45019001902,James Island,37201
45019005600,West Ashley,36507
45035010818,Windsor Hill Plantation,36319
45019001901,James Island,35897
45019003108,North Charleston,35694
45019005100,Anson Borough Homes,35375
45019002605,West Ashley,34543
45019003109,North Charleston,33838
45019002103,Johns Island,33799
45019002502,Hollywood,33458
45019003115,North Charleston,33027
45019003110,North Charleston,32776
45019003113,North Charleston,32632
45019002101,Johns Island,32498
45019005200,Charleston,32096
45019003107,North Charleston,31891
45019002003,James Island,31710
45019005800,Johns Island,31694
45019003500,North Charleston,30951
45019002200,Wadmalaw Island,30605
45019002900,West Ashley,30272
45019003111,North Charleston,29011
45019002701,West Ashley,28735
45019003900,North Charleston,27967
45019001600,Charleston,27207
45019002702,West Ashley,26774
45019001000,Cannonborough Elliotborough,25982
45019000700,Radcliffeborough,25736
45019003104,North Charleston,25323
45019003600,North Charleston,25280
45019003105,North Charleston,23754
45019003800,North Charleston,23320
45019003400,North Charleston,22978
45019001500,North-Central,22591
45019001100,Westside,22414
45019005500,North Charleston,22328
45019003300,North Charleston,22124
45019004400,Charleston,21781
45019005300,Charleston,21686
45019003700,North Charleston,21101
45019004000,North Charleston,20078
45019005400,Wagener Terrace,19704
45019004300,North Charleston,18728
45019000900,Charleston,18454
