tract_name,Neighborhood ,Teenage_Birth_Rate
45019004300,North Charleston,0.5948
45019004400,Charleston,0.5299
45019001100,Westside,0.5162
45019000900,Charleston,0.5154
45019004000,North Charleston,0.5142
45019005400,Wagener Terrace,0.5104
45019003700,North Charleston,0.489
45019003300,North Charleston,0.4472
45019005300,Charleston,0.4303
45019003800,North Charleston,0.4252
45019003400,North Charleston,0.4193
45019005500,North Charleston,0.4068
45019003104,North Charleston,0.4062
45019001000,Cannonborough Elliotborough,0.4056
45019002702,West Ashley,0.3805
45019003105,North Charleston,0.3654
45019003600,North Charleston,0.3631
45019002701,West Ashley,0.3623
45019003111,North Charleston,0.3549
45015020405,Huger,0.3456
45019002400,Charleston County,0.3447
45015020901,Hanahan,0.341
45019003113,North Charleston,0.3407
45019003110,North Charleston,0.3317
45019000700,Radcliffeborough,0.3264
45035010400,Ridgeville,0.3248
45019003107,North Charleston,0.3245
45019002103,Johns Island,0.3167
45029970800,Green Pond,0.3158
45019001500,North-Central,0.3061
45019001600,Charleston,0.2981
45029970700,Cottageville,0.2967
45015020804,Goose Creek,0.2965
45019003108,North Charleston,0.2933
45019005200,Charleston,0.2915
45019003500,North Charleston,0.2907
45019005000,McClellanville,0.2881
45019002200,Wadmalaw Island,0.2842
45019002003,James Island,0.2748
45019000600,Charleston,0.2724
45035010818,Windsor Hill Plantation,0.2723
45019003900,North Charleston,0.2679
45019002300,Edisto Island,0.2679
45019002605,West Ashley,0.2667
45015020404,Wando,0.2575
45019002101,Johns Island,0.257
45019000400,Harleston Village,0.2561
45015021000,Hanahan,0.2546
45019002900,West Ashley,0.2513
45019005100,Anson Borough Homes,0.2511
45019003115,North Charleston,0.2475
45019002502,Hollywood,0.2403
45015020600,Moncks Corner,0.2401
45015020810,Goose Creek,0.2379
45015020811,Goose Creek,0.237
45015020725,Goose Creek,0.2332
45035010814,Ladson,0.2329
45035010801,Summerville,0.2255
45019001901,James Island,0.222
45035010504,Summerville,0.2196
45019003114,North Charleston,0.2163
45019003109,North Charleston,0.2142
45019001902,James Island,0.2057
45019005600,West Ashley,0.2039
45015020724,Goose Creek,0.1993
45019005800,Johns Island,0.1969
45035010813,Summerville,0.1896
45019004609,Mount Pleasant,0.1866
45035010503,Summerville,0.1856
45015020903,Hanahan,0.1801
45019004610,Mount Pleasant,0.1782
45019002604,West Ashley,0.1724
45019002613,West Ashley,0.168
45019002006,James Island,0.1676
45019002612,West Ashley,0.1618
45019003200,Joint Base Charleston,0.1612
45035010808,Summerville,0.1581
45035010505,Summerville,0.1524
45019002614,West Ashley,0.1522
45035010820,North Charleston,0.1491
45035010815,Ladson,0.1415
45019002002,James Island,0.1411
45019002801,West Ashley,0.1397
45035010816,Summerville,0.1362
45035010807,Summerville,0.1356
45019002802,West Ashley,0.1344
45019004614,Mount Pleasant,0.1279
45019002611,West Ashley,0.1217
45015020812,Hanahan,0.1195
45019004702,Mount Pleasant,0.1178
45019002005,James Island,0.1144
45035010819,North Charleston,0.1133
45019004606,Mount Pleasant,0.109
45015020904,Hanahan,0.1066
45019004902,Isle of Palms,0.1062
45013001200,Saint Helena Island,0.0965
45019005700,Charleston,0.0903
45019004611,Mount Pleasant,0.0901
45019002606,West Ashley,0.0851
45019004608,Mount Pleasant,0.0833
45015020403,Charleston,0.0747
45019004701,Mount Pleasant,0.0722
45019004612,Mount Pleasant,0.0672
45019003000,West Ashley,0.0665
45035010817,Summerville,0.0506
45019004607,Mount Pleasant,0.046
45019000100,Charleston,0.0432
45019002007,James Island,0.04
45019002105,Johns Island,0.0391
45019002104,Kiawah Island,0.0305
45019004901,Isle of Palms,0.0305
45019004613,Mount Pleasant,0.0252
45019000500,Harleston Village,0.0177
45019004800,Sullivan's Island,0.0071
45019000200,Charleston,0.0065
45019002004,Folly Beach,0
45015980100,Goose Creek,
